TypeID,Name
0,American Pale Lager
1,American Pale Ale (APA)
2,American IPA
3,American Double / Imperial IPA
4,American IPA
5,Oatmeal Stout
6,American Pale Ale (APA)
7,American Porter
8,American Pale Ale (APA)
9,American Double / Imperial IPA
10,Saison / Farmhouse Ale
11,Saison / Farmhouse Ale
12,Saison / Farmhouse Ale
13,Belgian IPA
14,American Pale Ale (APA)
15,Cider
16,Cider
17,Cider
18,Cider
19,Baltic Porter
20,Tripel
21,American Barleywine
22,Winter Warmer
23,American Stout
24,American Pale Ale (APA)
25,Fruit / Vegetable Beer
26,Fruit / Vegetable Beer
27,Fruit / Vegetable Beer
28,American IPA
29,American IPA
30,American IPA
31,English Strong Ale
32,American Double / Imperial IPA
33,American Pale Ale (APA)
34,Winter Warmer
35,American Black Ale
36,Belgian Dark Ale
37,American IPA
38,Fruit / Vegetable Beer
39,American IPA
40,American Blonde Ale
41,American Amber / Red Ale
42,Berliner Weissbier
43,American Blonde Ale
44,American Brown Ale
45,American Amber / Red Ale
46,American Black Ale
47,American IPA
48,American IPA
49,American Pale Wheat Ale
50,American IPA
51,American IPA
52,Belgian Strong Dark Ale
53,American IPA
54,English Strong Ale
55,Kölsch
56,Belgian Dark Ale
57,American IPA
58,English Pale Ale
59,English Pale Ale
60,American Double / Imperial IPA
61,Berliner Weissbier
62,American Amber / Red Lager
63,American Amber / Red Lager
64,American IPA
65,Fruit / Vegetable Beer
66,American Amber / Red Lager
67,American IPA
68,American Brown Ale
69,American Double / Imperial IPA
70,English Barleywine
71,Milk / Sweet Stout
72,American Pale Ale (APA)
73,German Pilsener
74,Pumpkin Ale
75,Belgian Pale Ale
76,American Pilsner
77,American Double / Imperial IPA
78,Saison / Farmhouse Ale
79,American Wild Ale
80,American IPA
81,English Brown Ale
82,American Stout
83,American Pale Ale (APA)
84,American Pilsner
85,American Pilsner
86,American Pale Ale (APA)
87,American Double / Imperial IPA
88,American Pale Ale (APA)
89,Altbier
90,American Pale Ale (APA)
91,Kölsch
92,American IPA
93,American Pale Ale (APA)
94,American IPA
95,American IPA
96,American IPA
97,American IPA
98,American Pale Wheat Ale
99,American Amber / Red Lager
100,California Common / Steam Beer
101,Gose
102,American Pale Ale (APA)
103,Gose
104,Pumpkin Ale
105,Oatmeal Stout
106,Cream Ale
107,American IPA
108,American Amber / Red Ale
109,Oatmeal Stout
110,Vienna Lager
111,American Amber / Red Ale
112,Cream Ale
113,Oatmeal Stout
114,Winter Warmer
115,American IPA
116,American Amber / Red Ale
117,Cream Ale
118,American Pale Ale (APA)
119,American IPA
120,American Pale Ale (APA)
121,Oatmeal Stout
122,Cider
123,Cider
124,Cider
125,Belgian Pale Ale
126,Witbier
127,American Stout
128,American IPA
129,American Blonde Ale
130,American Porter
131,American Pale Ale (APA)
132,American Pale Wheat Ale
133,American Pale Ale (APA)
134,American Double / Imperial Stout
135,Saison / Farmhouse Ale
136,Gose
137,American IPA
138,Kölsch
139,American Porter
140,American IPA
141,Kölsch
142,American IPA
143,American Amber / Red Ale
144,American Blonde Ale
145,American IPA
146,American Stout
147,American Double / Imperial IPA
148,American Porter
149,American Amber / Red Ale
150,American Double / Imperial IPA
151,American Porter
152,Fruit / Vegetable Beer
153,American Blonde Ale
154,American IPA
155,Munich Helles Lager
156,American Black Ale
157,American IPA
158,American Pale Ale (APA)
159,German Pilsener
160,Schwarzbier
161,American Double / Imperial IPA
162,Saison / Farmhouse Ale
163,German Pilsener
164,Witbier
165,American IPA
166,American Brown Ale
167,Pumpkin Ale
168,Märzen / Oktoberfest
169,American Pale Wheat Ale
170,American IPA
171,Tripel
172,American Amber / Red Ale
173,American Double / Imperial IPA
174,American Porter
175,American Blonde Ale
176,American IPA
177,American Amber / Red Ale
178,English Brown Ale
179,American Pale Ale (APA)
180,American IPA
181,American Pale Ale (APA)
182,American IPA
183,American IPA
184,Kölsch
185,American IPA
186,Munich Helles Lager
187,American IPA
188,Extra Special / Strong Bitter (ESB)
189,Rye Beer
190,American Amber / Red Ale
191,American IPA
192,American IPA
193,American Blonde Ale
194,American Pilsner
195,American IPA
196,American Pale Lager
197,Witbier
198,Euro Dark Lager
199,California Common / Steam Beer
200,American IPA
201,Schwarzbier
202,German Pilsener
203,California Common / Steam Beer
204,Hefeweizen
205,American Pale Wheat Ale
206,Foreign / Export Stout
207,Rye Beer
208,American Pale Wheat Ale
209,American Amber / Red Ale
210,American Pale Ale (APA)
211,American IPA
212,American Double / Imperial IPA
213,Fruit / Vegetable Beer
214,American Pale Ale (APA)
215,American IPA
216,Other
217,American Pale Wheat Ale
218,Rye Beer
219,Witbier
220,American Pale Wheat Ale
221,American IPA
222,American Brown Ale
223,English India Pale Ale (IPA)
224,American Double / Imperial IPA
225,American Blonde Ale
226,American Black Ale
227,American IPA
228,Extra Special / Strong Bitter (ESB)
229,American IPA
230,American Black Ale
231,German Pilsener
232,English India Pale Ale (IPA)
233,American Pale Ale (APA)
234,American IPA
235,Czech Pilsener
236,American Porter
237,Hefeweizen
